year,unitid,instnm,rating,rating_analysis,state_flagship,stabbr,fips,region,opeid,sector,iclevel,control,hbcu,hospital,medical,tribal,pset4flg,c21basic,pell_total_ftft,pell_pct_ftft,pell_total_undergrad,pell_pct_undergrad,eftotlt2,eftotlm2,eftotlw2,efaiant2,efasiat2,efbkaat2,efhispt2,efnhpit2,efwhitt2,ef2mort2,efunknt2,efnralt2,eftotlt24,eftotlm24,eftotlw24,efaiant24,efasiat24,efbkaat24,efhispt24,efnhpit24,efwhitt24,ef2mort24,efunknt24,efnralt24,urm_enroll_undergrad_t,urm_pct_undergrad_t,aian_pct_undergrad_t,asia_pct_undergrad_t,bkaa_pct_undergrad_t,hisp_pct_undergrad_t,nhpi_pct_undergrad_t,nral_pct_undergrad_t,whit_pct_undergrad_t,unkn_pct_undergrad_t,two_more_pct_undergrad_t,urm_enroll_undergrad_ftft,urm_pct_undergrad_ftft,aian_pct_undergrad_ftft,asia_pct_undergrad_ftft,bkaa_pct_undergrad_ftft,hisp_pct_undergrad_ftft,nhpi_pct_undergrad_ftft,nral_pct_undergrad_ftft,whit_pct_undergrad_ftft,unkn_pct_undergrad_ftft,two_more_pct_undergrad_ftft,fteug,fall_under_oth_trans,fall_ft_under_oth_trans,grtotlt_adj_cohort_4yr,grtotlt_completers_150pct_4yr,grtotlt_grad_rate_150pct_4yr,total_title_iv,total_title_iv_0_30,total_title_iv_30_48,total_title_iv_48_75,total_title_iv_75_110,total_title_iv_110_plus,total_grant_aid,total_grant_aid_0_30,total_grant_aid_30_48,total_grant_aid_48_75,total_grant_aid_75_110,total_grant_aid_110_plus,net_price_0_30,net_price_30_48,net_price_48_75,net_price_75_110,net_price_110_plus,endowment_end,endow_per_fte,pell_share_calc,pell_share_orig
2009,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,155,.2,,,5893,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5137,615,483,774,382,.49354005,,,,,,,,,,,,,,,,,,67988824,13235.122,,
2010,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,209,.27000001,1683,.27504495,6119,,,,,,,,,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407,758,568,600,292,.48666668,344,115,56,60,51,62,,,,,,,5595.022,7508.6812,12063.291,13546.564,13678.799,69033104,12767.357,.27504495,.28
2011,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,201,.34,1907,.31756869,6005,3192,2813,83,203,888,153,1,4287,89,110,191,600,350,250,6,27,92,23,0,415,13,11,13,1125,.18734388,.013821815,.033805162,.14787677,.025478767,.0001665279,.031806827,.7139051,.018318068,.014820983,121,.20166667,.0099999998,.045000002,.15333334,.038333334,0,.021666666,.69166666,.018333333,.021666666,5211,687,525,652,317,.48619631,303,102,48,53,48,52,,,,,,,7658.3721,11587.597,13660.685,14293.459,15127.515,67326872,12920.145,.31756869,.31999999
2012,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,206,.31999999,1985,.33445662,5935,3213,2722,92,211,842,161,2,4191,81,163,192,652,384,268,12,27,86,26,0,455,3,29,14,1097,.18483572,.015501264,.035551812,.14187026,.027127212,.000336984,.032350462,.70614994,.027464196,.013647852,124,.19018404,.018404908,.041411042,.13190185,.039877299,0,.021472393,.69785279,.044478528,.0046012271,5180,776,583,615,319,.51869917,307,110,41,60,56,40,186,109,41,30,5,1,11056.411,12625.058,14616.99,14755.714,15624.813,77755832,15010.778,.33445662,.33000001
2013,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,192,.31,1930,.3281197,5882,3197,2685,83,203,811,198,1,4117,85,191,193,615,336,279,7,21,91,28,0,432,9,17,10,1093,.18582115,.014110846,.034512069,.13787827,.033662021,.0001700102,.03281197,.69993198,.032471947,.014450867,126,.20487805,.011382114,.034146342,.14796747,.045528457,0,.016260162,.70243901,.027642276,.014634146,5000,672,526,638,368,.57680249,294,97,52,48,51,46,176,97,52,26,1,0,17079.447,19040.111,22166.447,23620.043,23670.166,81515320,16303.064,.3281197,.33000001
2014,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,160,.25,1750,.30723315,5696,3177,2519,81,215,741,195,1,3960,93,194,216,638,387,251,10,23,70,15,0,471,13,11,25,1018,.1787219,.014220506,.037745785,.13009129,.03423455,.0001755618,.037921347,.6952247,.034058988,.016327247,95,.14890282,.015673982,.036050156,.10971787,.023510972,0,.039184954,.73824453,.017241379,.020376176,4895,705,546,714,408,.5714286,301,82,45,55,62,57,153,82,44,25,2,0,17388.193,19244.199,22637.547,23906.482,24107.502,84938592,17352.113,.30723315,.31
2015,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,192,.27000001,1786,.31790674,5618,3210,2408,80,220,692,214,1,3913,94,201,203,714,437,277,8,25,69,32,0,543,12,13,12,987,.1756853,.014239943,.039159842,.12317551,.038091846,.00017799929,.036133856,.69651121,.035777856,.016731933,109,.15266107,.011204482,.035014007,.096638657,.044817928,0,.016806724,.76050419,.018207284,.016806724,4910,685,554,1026,623,.60721248,331,82,44,63,66,76,176,82,44,42,6,2,17388.949,19641.805,21865.018,23762.16,23769.002,79883680,16269.589,.31790674,.31999999
2016,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,260,.25,1773,.29486114,6013,3449,2564,78,235,729,244,0,4189,119,183,236,1027,616,411,9,32,97,45,0,780,25,18,21,1051,.17478795,.012971894,.039081991,.12123732,.040578745,0,.039248295,.69665724,.030434059,.019790454,151,.14703019,.0087633887,.031158715,.094449855,.043816943,0,.020447906,.75949365,.017526777,.024342746,5290,717,605,,,,401,112,56,75,75,83,223,112,55,49,7,0,18014.262,20320.891,22897.096,24627.35,24881.135,84758256,16022.354,.29486114,.28999999
2017,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,242,.2,1799,.2764715,6507,3781,2726,79,271,735,265,0,4632,119,200,206,1203,731,472,12,50,83,49,0,935,22,23,29,1079,.16582142,.012140771,.041647457,.11295528,.040725373,0,.031658214,.7118488,.03073613,.018287998,144,.11970074,.0099750627,.041562758,.068994179,.040731505,0,.0241064,.77722359,.01911887,.018287614,5836,777,635,,,,485,93,68,88,118,118,162,87,41,29,5,0,17807.838,19270.461,23054.641,24294.209,24533.91,84311336,14446.768,.2764715,.28
2018,100706,University of Alabama in Huntsville,4. Very Competitive+,4. Very Competitive+ and Under,,AL,Alabama,Southeast,105500,"Public, 4-year or above",Four or more years,Public,No,No,No,No,Title IV postsecondary institution,15,363,.27000001,1913,.26981664,7090,4097,2993,82,292,776,327,7,5215,185,27,179,1341,860,481,14,42,105,60,1,1036,57,0,26,1192,.16812412,.011565586,.041184768,.10944993,.046121299,.00098730612,.025246827,.73554301,.0038081806,.026093088,180,.13422818,.010439971,.031319909,.078299776,.04474273,.00074571214,.019388516,.7725578,0,.042505592,6447,810,642,,,,585,134,93,122,107,129,319,133,92,84,9,1,18948.227,20491.189,23086.172,25036.994,25254.951,85742344,13299.572,.26981664,.27000001
